motVedette;nbSyll;origin;sampa;ipa
abacus;3;aʹbăcus;{ b @ k @ s;æbəkəs
abandon;3;ābăʹndon;@ b { n d @ n;əbændən
abandoned;4;ābăʹndŏned;@ b { n d @ n d;əbændənd
abash;2;ăbăʹſh;@ b { S;əbæʃ
abate;2;ăbāʹte;@ b eI t;əb?t
abatement;3;ăbāʹt_e_ment;@ b eI t m @ n t;əb?tmənt
abbey;2;ăʹbbey;{ b i:;æbiː
abbot;2;ăʹbbŏt;{ b @ t;æbət
abbreviate;4;ăbbrĕʹvĭāte;@ b r\ i: v i: eI t;əbɹiːviː?t
abbreviation;6;ăbbrevĭāʹtion;@ b r\ i: v i: eI S @ n;əbɹiːviː?ʃən
abdicate;3;ăʹbdicāte;{ b d @ k eI t;æbdək?t
abdomen;3;ăbdōʹmen;{ b d @U m @ n;æbdoʊmən
abet;2;ăbĕʹt;@ b E t;əbɛt
abeyance;3;ăbeʹyănce;@ b eI @ n s;əb?əns
abhor;2;ăbhŏʹr;{ b h O: r\;æbhOːɹ
abhorrence;3;ăbhŏʹrrence;@ b h O: r\ @ n s;əbhOːɹəns
abide;2;ābīʹde;@ b aI d;əb?d
abject;2;ăʹbject;{ b dZ E k t;æb?ɛkt
ability;4;abĭʹlĭty;@ b I l @ 4 i:;əbɪləɾiː
aboard;2;ăʹboard;@ b O: r\ d;əbOːɹd
abode;2;ābōʹde;@ b @U d;əboʊd
abolish;3;ăbŏʹlĭſh;@ b A l i S;əbɑliʃ
abominate;4;ăbŏʹmĭnāte;@ b A m @ n eI t;əbɑmən?t
abomination;6;ăbŏʹmĭnāʹtion;@ b A m @ n eI S @ n;əbɑmən?ʃən
aborigines;4;ăborīʹgĭnes;{ b 3:r I dZ @ n i: z;æbɜ:rɪ?əniːz
abortion;4;ăbŏʹrtion;@ b O: r\ S @ n;əbOːɹʃən
abortive;3;ăbŏʹrtive;@ b O: r\ 4 i v;əbOːɹɾiv
abridge;2;abrĭʹdge;@ b r\ I dZ;əbɹɪ?
abroad;2;abroaʹd;@ b r\ O: d;əbɹOːd
abrogate;3;ăʹbrŏgāte;{ b r\ @ g eI t;æbɹəg?t
abrupt;2;ăbrŭpt;@ b r\ V p t;əbɹʌpt
abscess;2;ăʹbſcĕſs;{ b s E s;æbsɛs
absent;2;ăʹbſĕnt;{ b s @ n t;æbsənt
absentee;3;ăbſĕnteeʹ;{ b s @ n t i:;æbsəntiː
absolve;2;ăbſŏʹlve;@ b z A l v;əbzɑlv
absolute;3;ăʹbſŏlūte;{ b s @ l u t;æbsəlut
absolution;5;ăbſŏlūʹtion;{ b s @ l u S @ n;æbsəluʃən
absorb;2;ăbſŏʹrb;@ b z O: r\ b;əbzOːɹb
